ID	Status	Name	Price	Description	Type	Voltage	Current	Power	Resistance	Package	Logic
20985		IRF1010E	107	N-MOSFET 60V 84A 140W 0,0125R TO-220	N-MOSFET	60	84	140W	0,0125R	TO-220	
5167	on stock	IRF1010N	114	N-MOSFET 55V 85A 180W 0,0125R TO-220	N-MOSFET	55	85	180W	0,0125R	TO-220	
2067	on stock	IRF1310N	144	N-MOSFET 100V 42A 160W 0,036R TO220AB	N-MOSFET	100	42	160W	0,036R	TO-220AB	
39064	on stock	IRF1404	133.51	N-MOSFET 40V 202A 333W 0,004R TO220AB	N-MOSFET	40	202	333W	0,004R	TO-220AB	
20562		IRF1405	187.92	N-MOSFET 55V 169A 330W 0,0053R TO220AB	N-MOSFET	55	169	330W	0,0053R	TO-220AB	
20563		IRF1407	180	N-MOSFET 75V 130A 330W 0,0078R TO220AB	N-MOSFET	75	130	330W	0,0078R	TO-220AB	
18856		IRF2804 (TO220)	245.04	N-MOSFET 40V 75A 300W TO220AB	N-MOSFET	40	75	300W		TO-220AB	
38259	on stock	IRF2804L (TO262)	303.37	N-MOSFET 40V 75A 300W TO262	N-MOSFET	40	75	300W		TO-262	
38349		IRF2804S-7P	731.81								
24596	on stock	IRF2805	201.59	N-MOSFET 55V 175A 330W 0,0047R TO220AB	N-MOSFET	55	175	330W	0,0047R	TO-220AB	
8988	on stock	IRF2807	132	N-MOSFET 75V 82A 230W 0,013R TO220AB	N-MOSFET	75	82	230W	0,013R	TO-220AB	
4726	on stock	IRF3205	104.46	N-MOSFET 55V 110A 200W 0,008R TO220AB	N-MOSFET	55	110	200W	0,008R	TO-220AB	
30355		IRF3205S (TO263)	134.28	N-MOSFET 55V 110A 200W 0,008R D2PaK	N-MOSFET	55	110	200W	0,008R	D2PAK	
9849	on stock	IRF3710	126	N-MOSFET 100V, 57A, 0,028R , TO-220	N-MOSFET	100	57		0,028R	TO-220	
27850	on stock	IRF3710S (TO263)	135.04	N-MOSFET 100V, 57A, 0,028R , D2PAK	N-MOSFET	100	57		0,028R	D2PAK	
8589		IRF4905	156	P-MOSFET 55V 74A 200W 0,02R TO220AB	P-MOSFET	55	74	200W	0,02R	TO-220AB	
33035	on stock	IRF4905S (TO263)	173.45								
26144		IRF520	62.72	N-MOSFET 100V 9,2A 60W 0,27R TO-220	N-MOSFET	100	9.2	60W	0,27R	TO-220	
6493		IRF520N	63	N-MOSFET 100V 9.2A 0,27R TO-220	N-MOSFET	100	9.2		0,27R	TO-220	
10701		IRF5210	155.39	P-MOSFET 100V 40A 200W 0,06R TO220AB	P-MOSFET	100	40	200W	0,06R	TO-220AB	
35610		IRF5210PBF	137.5								
2267		IRF530	64.87	N-MOSFET 100V 14A 88W 0,16R TO220AB	N-MOSFET	100	14	88W	0,16R	TO-220AB	
5098		IRF5305	88.38	P-MOSFET 55V 31A 110W 0,06R TO220AB	P-MOSFET	55	31	110W	0,06R	TO-220AB	
13528	on stock	IRF5305S (TO263)	114	P-MOSFET 55V 31A 110W 0,06R TO263	P-MOSFET	55	31	110W	0,06R	D2PAK	
20743	on stock	IRF530N	76.21	N-MOSFET 100V 17A 0,11R TO-220	N-MOSFET	100	17		0,11R	TO-220	
1276		IRF540	91.5	N-MOSFET 100V 28A 150W 0,077R	N-MOSFET	100	28	150W	0,077R		
9201	on stock	IRF540N	84	N-MOSFET 100V 33A 130W 0,044R TO-220	N-MOSFET	100	33	130W	0,044R	TO-220	
33930	on stock	IRF540NS (TO263)	94.34								
31161		IRF540Z	64.21								
37305		IRF610	38.45								
34785		IRF6218PBF	269.41								
1275	on stock	IRF630	60	N-MOSFET 200V 9A 100W 0,4R TO220AB	N-MOSFET	200	9	100W	0,4R	TO-220AB	
